,names,values
1687,Sunait,M
1688,Sung,M
1689,Sung-ho,M
1690,Supratik,M
1691,Susan,F
1692,Susanna,F
1693,Susannah,F
1694,Susanne,F
1695,Suza,M
1696,Suzana,F
1697,Suzanne,F
1698,Suzi,F
1699,Suzuki,M
1700,Sveinn,M
1701,Sydney,F
1702,Sylvain,M
1703,Sylvester,M
1704,Sylvia,F
1705,SÎêÎ©bastien,M
1706,T.,M
1707,T.C.,M
1708,T.E.,M
1709,T.J.,M
1710,T.S.,M
1711,Tab,M
1712,Tabajara,M
1713,Tadao,M
1714,Tadashi,M
1715,Tae-gyun,M
1716,Tae-yong,M
1717,Tahmineh,M
1718,Tai-lee,M
1719,TaijirÎêÎä,M
1720,Taika,F
1721,Takashi,M
1722,Takeo,M
1723,Takeshi,M
1724,Talbot,M
1725,Talya,F
1726,Tama,M
1727,Tamara,F
1728,Tamzin,M
1729,Tan,M
1730,Tanya,F
1731,Tara,F
1732,Tate,M
1733,Tatiana,F
1734,Tatjana,F
1735,Tatsuhiko,M
1736,Tatsuya,M
1737,Taylor,M
1738,Te,M
1739,Ted,M
1740,Teena,M
1741,Telsche,M
1742,Temple,M
1743,Tennessee,M
1744,Tennyson,M
1745,Terence,M
1746,Teresa,F
1747,Terrance,M
1748,Terrel,M
1749,Terrence,M
1750,Terry,M
1751,Teru,M
1752,Tess,F
1753,TetsurÎêÎä,M
1754,The,M
1755,Thea,F
1756,Theodore,M
1757,Thierry,M
1758,Thom,M
1759,Thomas,M
1760,Thornton,M
1761,Thunder,M
1762,Ti,M
1763,Tiffany,F
1764,Tim,M
1765,Timothy,M
1766,Timur,M
1767,Tina,F
1768,Ting,M
1769,Tinto,M
1770,Tizza,M
1771,Tobi,M
1772,Tobias,M
1773,Toby,M
1774,Tod,M
1775,Todd,M
1776,Tokuya,M
1777,Tom,M
1778,Tomm,M
1779,Tommy,M
1780,Tomo'o,M
1781,Tomoko,F
1782,Ton,M
1783,Toni,M
1784,Tonino,M
1785,Tony,M
1786,Torsten,M
1787,Tracey,F
1788,Tracy,F
1789,Tran,M
1790,Travis,M
1791,Trent,M
1792,Trevor,M
1793,Trey,M
1794,Tricia,F
1795,Tristan,M
1796,Tristram,M
1797,Troy,M
1798,Truman,M
1799,Tudor,M
1800,Tulio,M
1801,Turner,M
1802,Tushar,M
1803,Tyler,M
1804,Uberto,M
1805,Ulf,M
1806,Uli,M
1807,Ulla,F
1808,Ulrich,M
1809,Ulrike,F
1810,Umberto,M
1811,Urszula,F
1812,V.S.,M
1813,Vadim,M
1814,Valentin,M
1815,Valentine,M
1816,Valerie,F
1817,ValÎêÎ©rie,M
1818,Vanessa,F
1819,Vardis,M
1820,Vasilis,M
1821,Vera,F
1822,Vernon,M
1823,Veronika,F
1824,Vicente,M
1825,Vicki,F
1826,Victor,M
1827,Victoria,F
1828,Victorien,M
1829,Vijayendra,M
1830,Vikas,M
1831,Vikram,M
1832,Viktor,M
1833,Vilgot,M
1834,Vince,M
1835,Vincent,M
1836,Vincenzo,M
1837,Vinko,M
1838,Virginia,F
1839,Virginie,F
1840,Vitaliano,M
1841,Vito,M
1842,Viviana,F
1843,ViÎêÎ±a,M
1844,Vladimir,M
1845,Vladlen,M
1846,Vy,M
1847,VÎê_ctor,M
1848,W.,M
1849,W.D.,M
1850,W.H.,M
1851,W.P.,M
1852,W.R.,M
1853,Waclaw,M
1854,Wahid,M
1855,Waldemar,M
1856,Waldo,M
1857,Walter,M
1858,Wang,M
1859,Ward,M
1860,Warren,M
1861,Washington,M
1862,Wayne,M
1863,Wenceslao,M
1864,Wendell,M
1865,Wendy,F
1866,Wentworth,M
1867,Werner,M
1868,Wes,M
1869,Wesley,M
1870,Whit,M
1871,Whitfield,M
1872,Whitney,F
1873,Wilhelm,M
1874,Will,M
1875,Willard,M
1876,William,M
1877,Willy,M
1878,Wim,M
1879,Wing-Shing,M
1880,Winston,M
1881,Winthrop,M
1882,Wolf,M
1883,Wolfgang,M
1884,Won-Chan,M
1885,Woody,M
1886,Wrion,M
1887,Wu,M
1888,Xan,M
1889,Xavier,M
1890,Xiangsheng,M
1891,Xiaobai,M
1892,Xiaolu,M
1893,Yael,F
1894,Yann,M
1895,Yasemin,F
1896,Yasmin,F
1897,Yasmina,F
1898,YasujirÎêÎä,M
1899,Yasutaka,M
1900,Yeong-ah,M
1901,Yin,F
1902,Yoji,M
1903,Yorgos,M
1904,Yoshiie,M
1905,Yoshimitsu,M
1906,Yoshinobu,M
1907,Yoshitaka,M
1908,Yuiko,M
1909,Yuki,F
1910,Yukiko,F
1911,Yurii,M
1912,Yuriy,M
1913,Yves,M
1914,YÎêÎ_suke,M
1915,YÎêÎ_ya,M
1916,YÎêÎäko,M
1917,Zach,M
1918,Zachary,M
1919,Zack,M
1920,Zak,M
1921,Zal,M
1922,Zalman,M
1923,Zana,F
1924,Zelda,F
1925,Zhangke,M
1926,Zhi-Hong,M
1927,Zoe,F
1928,Îê_mile,M
1929,Îê_ric,M
1930,Îê’_agan,M
1931,ÎêÎ_scar,M
1932,ÎêÎlex,M
1933,ÎêÎngel,M
1934,ÎêÎãlex,M
