,names,values
1484,SaåÕÌÛd,M
1485,Scandar,M
1486,Scooter,M
1487,Scott,M
1488,Scotty,M
1489,Sean,M
1490,Sebastian,M
1491,SebastiåÕåçn,M
1492,Seigo,M
1493,Seiichi,M
1494,Seikichi,M
1495,Seiya,M
1496,Senta,F
1497,Seoung-Jae,M
1498,Serge,M
1499,Sergei,M
1500,Sergi,M
1501,Sergio,M
1502,Seth,M
1503,Seung-jae,M
1504,Seymour,M
1505,Shaked,F
1506,Shakim,M
1507,Shana,F
1508,Shane,M
1509,Shannon,F
1510,Shari,F
1511,Sharon,F
1512,Shawn,M
1513,Shayla,F
1514,Sheila,F
1515,Sheldon,M
1516,Shelley,F
1517,Shelly,F
1518,Sheri,F
1519,Sherman,M
1520,Sherry,F
1521,Sherryl,M
1522,Sheryl,F
1523,Shigeyuki,M
1524,Shin,M
1525,Shin'ichiråÕåâ,M
1526,Shin'ya,M
1527,Shinichi,M
1528,Shinji,M
1529,Shinya,M
1530,Shira,F
1531,Shizuo,M
1532,Shonali,M
1533,Shonda,F
1534,Shoufang,M
1535,Shu,F
1536,Shuji,M
1537,Shunji,M
1538,Sibylle,F
1539,Siddharth,M
1540,Sidney,M
1541,Silva,F
1542,Simon,M
1543,Simona,F
1544,SimåÕ_n,F
1545,Sini,F
1546,Sirad,M
1547,Siu-Tung,M
1548,Skip,M
1549,Sofia,F
1550,Sol,F
1551,Sonny,M
1552,Soo-hyun,M
1553,Sophie,F
1554,Spike,M
1555,Srdan,M
1556,Stacy,F
1557,Staffan,M
1558,Stan,M
1559,Stanley,M
1560,Stefan,M
1561,Stefanie,F
1562,Steffen,M
1563,Stephanie,F
1564,Stephen,M
1565,Steve,M
1566,Steven,M
1567,Steven-Charles,M
1568,Stig,M
1569,Stokely,M
1570,Stuart,M
1571,StåÕå©phane,M
1572,Su,F
1573,Su-jung,M
1574,Subi,M
1575,Sue,F
1576,Suet-Ying,M
1577,Sui,M
1578,Sunday,F
1579,Sung,M
1580,Sung-min,M
1581,Sunil,M
1582,Susan,F
1583,Susann,F
1584,Suza,M
1585,Suzanne,F
1586,Suziey,M
1587,Suzy,F
1588,Sven,M
1589,Svend,M
1590,Sydney,F
1591,Sylvain,M
1592,Sylvestre,M
1593,Sylvia,F
1594,Sylvie,F
1595,SåÕåâjiråÕåâ,M
1596,T.C.,M
1597,T.J.,M
1598,Tadeusz,M
1599,Tae-sung,M
1600,Taewon,M
1601,Tahmineh,M
1602,Tak,M
1603,Takanori,M
1604,Takashi,M
1605,Takashige,M
1606,Takehiko,M
1607,Takeo,M
1608,Takeshi,M
1609,Talal,M
1610,Tamara,F
1611,TamåÕåçs,M
1612,Tania,F
1613,Tarak,M
1614,Tarquin,M
1615,Taryn,F
1616,TaråÕåâ,M
1617,Tasja,M
1618,Tech,M
1619,Ted,M
1620,Teddy,M
1621,Teena,M
1622,Terence,M
1623,Teresa,F
1624,Terrence,M
1625,Terri,F
1626,Terry,M
1627,TetsuråÕåâ,M
1628,Tetsuya,M
1629,Thanassis,M
1630,Theo.,M
1631,Theresa,F
1632,Thierry,M
1633,Thom,M
1634,Thomas,M
1635,Tiana,F
1636,Tilde,F
1637,Till,M
1638,Tim,M
1639,Timothy,M
1640,Timur,M
1641,Tina,F
1642,Tish,M
1643,Tizza,M
1644,Tobin,M
1645,Toby,M
1646,Tod,M
1647,Todd,M
1648,Tom,M
1649,Tomas,M
1650,Tommy,M
1651,Tomohiko,M
1652,Tomoji,M
1653,Tomoyuki,M
1654,Ton,M
1655,Toni,M
1656,Tonino,M
1657,Tony,M
1658,Toru,M
1659,Toshimichi,M
1660,Tove,F
1661,Townes,M
1662,Trace,M
1663,Tracey,F
1664,Traci,F
1665,Tracy,F
1666,Travis,M
1667,Trent,M
1668,Trevor,M
1669,Trish,F
1670,Troy,M
1671,Trudie,F
1672,Tyler,M
1673,TåÕåâru,M
1674,Ugo,M
1675,Ulrich,M
1676,Uri,M
1677,Usha,F
1678,V.S.,M
1679,Vahid,M
1680,Val,M
1681,ValåÕå©rie,M
1682,Vanessa,F
1683,Varina,M
1684,Varvara,F
1685,Vasily,M
1686,Veit,M
1687,Ventura,M
1688,Verity,F
1689,Vern,M
1690,Vernon,M
1691,Veronica,F
1692,Vic,M
1693,Vicky,F
1694,Victor,M
1695,Victoria,F
1696,Vidhu,M
1697,Vin,M
1698,Vince,M
1699,Vincent,M
1700,Vinit,M
1701,Viola,F
1702,Virginia,F
1703,Virginie,F
1704,Vishesh,M
1705,Vittorio,M
1706,Vivek,M
1707,Vivian,M
1708,Vivien,M
1709,Vladimir,M
1710,VåÕ_ctor,M
1711,VåÕå¢nia,M
1712,VåÕå©ra,F
1713,W.,M
1714,W.A.,M
1715,W.K.,M
1716,Wade,M
1717,Wai,M
1718,Wai-Chung,M
1719,Waldemar,M
1720,Walt,M
1721,Walter,M
1722,Wan,M
1723,Warren,M
1724,Wasiliki,M
1725,Wataru,M
1726,Weiping,M
1727,Wellson,M
1728,Wendy,F
1729,Werner,M
1730,Wes,M
1731,Wesley,M
1732,Whitney,F
1733,Will,M
1734,Willi,M
1735,William,M
1736,Willie,M
1737,Winston,M
1738,Wolf,M
1739,Wolf-Dietrich,M
1740,Wolfgang,M
1741,Woo-taek,M
1742,Wouter,M
1743,Xavier,M
1744,Xiaofen,M
1745,Ya-Wen,F
1746,Yael,F
1747,Yanhong,M
1748,Yannick,M
1749,Yannik,M
1750,Yasuhiko,M
1751,Yasuhiro,M
1752,Yasuyuki,M
1753,Ye-cheng,M
1754,Yodphet,M
1755,Yoichi,M
1756,Yong-bae,M
1757,Yong-hoon,M
1758,Yoram,M
1759,Yorgos,M
1760,Yoshiaki,M
1761,Yoshifumi,M
1762,Yoshihiro,M
1763,Yoshimi,M
1764,Yoshimitsu,M
1765,Yoshinao,M
1766,Yoshinori,M
1767,Yoshishige,M
1768,Yukihiro,M
1769,Yukiko,F
1770,Yuval,M
1771,Yves,M
1772,Yvon,M
1773,YåÕå_ji,M
1774,Z.,M
1775,Zack,M
1776,Zakaria,M
1777,Zam,M
1778,Zanne,M
1779,Zdenek,M
1780,Zelda,F
1781,Zev,M
1782,Zivile,M
1783,Zoran,M
1784,ZoåÕÌ¢,M
1785,åÕ_mer,M
1786,åÕ_mile,M
1787,åÕ_ve,M
1788,åÕå_scar,M
1789,åÕåÅlvaro,M
1790,åÕåÅngel,M
1791,åÕåÅngeles,M
