,Released,Movie,Genre,Budget,Revenue,Trailer,Year
1709,6/27/12 0:00,Beasts of the Southern Wild,Drama,1800000,12795746,Play,2012
1710,3/30/12 0:00,The Beat Hotel,Documentary,,6480,,2012
1711,6/8/84 0:00,Beat Street,Drama,,16595791,,1984
1712,8/31/10 0:00,Beatdown,Action,,0,,2010
1713,7/8/11 0:00,"Beats, Rhymes & Life: The Travels of a Tribe Called Quest",Documentary,,1200046,,2011
1714,12/31/54 0:00,Beau Brummel,,,0,,1954
1715,3/31/00 0:00,Beau Travail,Drama,,270419,,2000
1716,1/18/08 0:00,Beaufort,Action,,102342,,2008
1717,9/13/96 0:00,"Beaumarchais, l'insolent",Drama,,630269,,1996
1718,2/7/97 0:00,The Beautician and the Beast,Romantic Comedy,,11486880,,1997
1719,9/29/00 0:00,Beautiful,Drama,9000000,3134509,,2000
1720,12/31/10 0:00,Beautiful,,,0,,2010
1721,12/31/11 0:00,The Beautiful and the Damned,Drama,,0,,2011
1722,1/21/05 0:00,Beautiful Boxer,Drama,,133920,,2005
1723,6/3/11 0:00,Beautiful Boy,Drama,,77247,Play,2011
1724,7/8/05 0:00,The Beautiful Country,Drama,,442646,,2005
1725,4/6/01 0:00,Beautiful Creatures,Comedy,,55381,,2001
1726,2/14/13 0:00,Beautiful Creatures,Thriller/Suspense,50000000,19452138,Play,2013
1727,4/22/11 0:00,Beautiful Darling,Documentary,,13400,,2011
1728,12/31/10 0:00,Beautiful Girl,Thriller/Suspense,,0,,2010
1729,2/9/96 0:00,Beautiful Girls,Comedy,,10523880,,1996
1730,12/31/10 0:00,Beautiful Islands,,,0,,2010
1731,12/21/10 0:00,Beautiful Kate,Drama,,0,,2010
1732,8/8/08 0:00,Beautiful Losers,Documentary,,56386,,2008
1733,12/21/01 0:00,A Beautiful Mind,Drama,78000000,170708996,,2001
1734,11/25/08 0:00,Beautiful Ohio,Drama,,0,,2008
1735,2/18/00 0:00,Beautiful People,Comedy,,261360,,2000
1736,5/4/12 0:00,A Beautiful Soul,Drama,,54008,,2012
1737,10/9/96 0:00,Beautiful Thing,Comedy,,1460297,,1996
1738,11/14/08 0:00,The Beautiful Truth,Documentary,,15387,,2008
1739,5/8/12 0:00,Beautiful Wave,Drama,,0,,2012
1740,12/31/99 0:00,Beautopia,,,0,,1999
1741,3/24/06 0:00,The Beauty Academy of Kabul,Documentary,,225448,,2006
1742,11/13/91 0:00,Beauty and the Beast,Musical,20000000,218951625,Play,1991
1743,12/31/10 0:00,Beauty and the Beast,,,0,,2010
1744,1/1/02 0:00,Beauty and the Beast (IMAX),Musical,,25487028,,2002
1745,3/30/05 0:00,Beauty Shop,Comedy,25000000,36351350,,2005
1746,12/31/09 0:00,Les Beaux Gosses,Comedy,,0,,2009
1747,10/25/13 0:00,Les beaux jours,Drama,,82510,,2013
1748,5/6/11 0:00,The Beaver,Comedy,21000000,970816,Play,2011
1749,12/20/96 0:00,Beavis and Butt-head Do America,Comedy,12000000,63118386,,1996
1750,7/31/92 0:00,BÃ©bÃ©'s Kids,Comedy,,8284881,,1992
1751,2/2/07 0:00,Because I Said So,Comedy,,42674040,,2007
1752,2/18/05 0:00,Because of Winn-Dixie,Comedy,15000000,32647042,,2005
1753,3/24/10 0:00,Because You're Mine,Musical,,0,,2010
1754,3/11/64 0:00,Becket,Drama,,9164370,,1964
1755,8/3/07 0:00,Becoming Jane,Romantic Comedy,16500000,18663911,,2007
1756,12/31/12 0:00,Becoming Redwood,Drama,,0,,2012
1757,12/31/11 0:00,Bed & Breakfast,,,0,,2011
1758,1/26/96 0:00,Bed of Roses,Drama,,18972237,,1996
1759,12/31/69 0:00,The Bed Sitting Room,,,0,,1969
1760,10/20/00 0:00,Bedazzled,Comedy,48000000,37879996,,2000
1761,10/7/71 0:00,Bedknobs and Broomsticks,Musical,,17871174,,1971
1762,12/31/13 0:00,Bedlam,Horror,,0,,2013
1763,1/16/87 0:00,The Bedroom Window,Thriller/Suspense,,12640385,,1987
1764,9/3/99 0:00,Bedrooms and Hallways,Comedy,,136049,,1999
1765,12/25/08 0:00,Bedtime Stories,Comedy,80000000,110101975,,2008
1766,11/2/07 0:00,Bee Movie,Comedy,150000000,126631277,,2007
1767,11/11/05 0:00,Bee Season,Drama,,1180560,,2005
1768,8/3/07 0:00,Beed-e majnoon,Drama,,25525,,2007
1769,10/13/99 0:00,Beefcake,Drama,,275996,,1999
1770,7/21/06 0:00,Been Rich All My Life,Documentary,,36406,,2006
1771,8/8/08 0:00,Beer for My Horses,Comedy,,666045,,2008
1772,8/25/06 0:00,Beerfest,Comedy,,19185184,,2006
1773,8/7/09 0:00,Beeswax,Comedy,,46590,,2009
1774,4/3/92 0:00,Beethoven,Comedy,,56979478,,1992
1775,12/31/11 0:00,Beethoven's Christmas Adventure,,,0,,2011
1776,12/31/14 0:00,Beethoven's Treasure Tail,,,0,,2014
1777,12/17/93 0:00,Beethoven's 2nd,Comedy,,52636940,,1993
1778,12/30/08 0:00,Beethoven's Big Break,,,0,,2008
1779,3/30/88 0:00,Beetle Juice,Comedy,15000000,73326666,,1988
1780,5/12/10 0:00,Beetle Queen Conquers Tokyo,Documentary,,15930,,2010
1781,2/23/96 0:00,Before and After,Drama,,8642118,,1996
1782,12/31/13 0:00,Before I Go to Sleep,Thriller/Suspense,,0,,2013
1783,12/31/09 0:00,Before I Self Destruct,,,0,,2009
1784,5/24/13 0:00,Before Midnight,Drama,,8110621,Play,2013
1785,12/22/00 0:00,Before Night Falls,Drama,,4221817,,2000
1786,1/27/95 0:00,Before Sunrise,Drama,2500000,5274005,,1995
1787,7/2/04 0:00,Before Sunset,Drama,2000000,5792822,,2004
1788,10/26/07 0:00,Before the Devil Knows You're Dead,Drama,,7085511,,2007
1789,10/7/05 0:00,Before the Fall,Drama,,144254,,2005
1790,2/24/95 0:00,Before the Rain,Drama,,431105,,1995
1791,5/9/08 0:00,Before the Rains,Drama,,1037128,,2008
1792,12/31/10 0:00,Before We Say Goodbye,Drama,,0,,2010
1793,6/3/11 0:00,Beginners,Drama,3200000,5790894,Play,2011
1794,8/28/12 0:00,A Beginner's Guide To Endings,Comedy,,0,,2012
1795,1/1/71 0:00,The Beguiled,Drama,,1100000,,1971
1796,11/30/01 0:00,Behind Enemy Lines,Action,40000000,58855732,,2001
1797,4/1/14 0:00,Seal Team 8: Behind Enemy Lines,Action,,0,,2014
1798,1/6/09 0:00,Behind Enemy Lines: Colombia,Action,,0,,2009
1799,10/17/06 0:00,Behind Enemy Lines II: Axis of Evil,Action,,0,,2006
1800,4/23/10 0:00,Behind the Burly Q,Documentary,,23889,,2010
1801,9/17/13 0:00,Behind the Candelabra,Drama,,0,,2013
1802,3/16/07 0:00,Behind the Mask: The Rise of Leslie Vernon,Horror,,69136,,2007
1803,8/25/09 0:00,Behind the Wall,,,0,,2009
1804,2/14/14 0:00,Bei Jing Ai Qing Gu Shi,Drama,,423598,,2014
1805,8/22/13 0:00,Bei Tou Zou De Wu Nian,Drama,,0,,2013
1806,3/21/13 0:00,B?ij?ng yÃ_ shÃ ng xiy?tÃº,Romantic Comedy,,0,,2013
1807,3/24/06 0:00,Being Cyrus,Drama,,87728,,2006
1808,10/21/11 0:00,Being Elmo: A Puppeteer's Journey,Documentary,,303791,,2011
1809,5/6/94 0:00,Being Human,Comedy,,1461200,,1994
1810,10/9/12 0:00,Being in the World,Documentary,,0,,2012
1811,10/29/99 0:00,Being John Malkovich,Black Comedy,13000000,22858926,,1999
1812,10/15/04 0:00,Being Julia,Drama,18000000,7739049,,2004
1813,12/19/79 0:00,Being There,Drama,,30177511,,1979
1814,6/8/12 0:00,Bel Ami,Drama,,120462,,2012
1815,10/3/12 0:00,Bel Borba Aqui,Documentary,,7426,,2012
1816,12/31/13 0:00,Bela Kiss: Prologue,Horror,,0,,2013
1817,4/20/07 0:00,Believe,Comedy,,2500,,2007
1818,12/25/13 0:00,Justin Bieber's Believe,Documentary,,6206566,Play,2013
1819,3/9/07 0:00,Believe in Me,Drama,,209654,,2007
1820,5/17/02 0:00,The Believer,Drama,,406035,,2002
1821,6/10/87 0:00,The Believers,Horror,,18753438,,1987
1822,6/13/86 0:00,Belizaire the Cajun,Drama,,1444618,,1986
1823,12/31/10 0:00,Belka i Strelka. Zvezdnye sobaki,Adventure,25000000,0,,2010
1824,12/31/43 0:00,Bell Bottom George,,,0,,1943
1825,12/31/11 0:00,The Bell Jar,Drama,,0,,2011
1826,10/26/07 0:00,Bella,Drama,3300000,8093373,,2007
1827,12/31/09 0:00,Bella Sara Tales: The Adventure Begins,,,0,,2009
1828,10/29/10 0:00,Bellamy,Thriller/Suspense,,107612,,2010
1829,5/2/14 0:00,Belle,Drama,,0,Play,2014
1830,4/10/68 0:00,Belle de Jour,Drama,,4030203,,1968
1831,7/8/11 0:00,La belle endormie,Drama,,28791,,2011
1832,6/8/07 0:00,Belle Toujours,Drama,,10643,,2007
1833,8/5/11 0:00,Bellflower,Action,,168226,,2011
1834,12/7/45 0:00,The Bells of St. Mary's,Drama,,21300000,,1945
1835,11/4/98 0:00,Belly,Drama,,9639390,,1998
1836,8/12/08 0:00,Belly 2: Millionaire Boyz Club,Drama,,0,,2008
1837,12/31/07 0:00,The Belly of the Beast,,,0,,2007
1838,10/16/98 0:00,Beloved,Drama,53000000,22852487,,1998
1839,10/11/02 0:00,Below,Horror,,589424,,2002
1840,12/31/09 0:00,Below the Earth's Surface,,,0,,2009
1841,8/28/12 0:00,Below Zero,Thriller/Suspense,,0,,2012
1842,4/8/08 0:00,Ben 10: Race Against Time,,,0,,2008
1843,11/18/59 0:00,Ben-Hur,Adventure,15000000,73000000,,1959
1844,12/30/25 0:00,Ben-Hur,Adventure,3900000,9000000,,1925
1845,10/24/08 0:00,Ben X,Drama,,193137,,2008
1846,4/7/06 0:00,The Benchwarmers,Comedy,35000000,59843754,,2006
1847,3/12/03 0:00,Bend it Like Beckham,Drama,5600000,32543449,,2003
1848,9/30/11 0:00,Benda Bilili!,Documentary,,13420,,2011
1849,6/21/11 0:00,Bending All the Rules,Drama,,0,,2011
1850,3/9/12 0:00,Bending the Rules,Drama,,0,,2012
1851,12/31/10 0:00,Beneath Hill 60,Drama,9000000,0,,2010
1852,12/31/10 0:00,Beneath the Blue,Drama,,0,,2010
1853,1/6/12 0:00,Beneath the Darkness,Thriller/Suspense,,9600,,2012
1854,5/26/70 0:00,Beneath the Planet of the Apes,,3000000,17489009,,1970
1855,7/21/00 0:00,Benjamin Smoke,Documentary,,36807,,2000
1856,11/15/74 0:00,Benji,Adventure,500000,31559560,,1974
1857,8/20/04 0:00,Benji: Off the Leash!,Drama,,3817362,,2004
1858,6/5/87 0:00,Benji the Hunted,Adventure,,15212539,,1987
1859,4/16/93 0:00,Benny & Joon,Drama,,23202734,,1993
1860,11/26/97 0:00,Bent,Drama,,405409,,1997
1861,1/18/12 0:00,Benvenuti al nord,Comedy,,0,,2012
1862,1/23/13 0:00,7beonbangui Seonmool,Comedy,,0,,2013
1863,11/16/07 0:00,Beowulf,Adventure,150000000,82195215,,2007
1864,6/16/06 0:00,Beowulf & Grendel,Adventure,,68820,,2006
1865,6/14/13 0:00,Berberian Sound Studio,,,31641,,2013
1866,3/4/11 0:00,Bereavement,Horror,,24400,,2011
1867,12/31/11 0:00,Berenstain Bears,Adventure,,0,,2011
1868,2/15/13 0:00,Bereurlin,Action,,0,,2013
1869,10/12/07 0:00,Berkeley,Drama,,0,,2007
1870,1/1/79 0:00,The Bermuda Triangle,,,22200000,,1979
1871,4/27/12 0:00,Bernie,Black Comedy,,9204489,,2012
1872,4/5/13 0:00,Bert Stern: Original Mad Man,Documentary,,34005,,2013
1873,11/27/12 0:00,Beruseruku: Ougon jidaihen I - Haou no tamago,Action,,0,,2012
1874,1/11/08 0:00,Bes Vakit,Drama,,6176,,2008
1875,10/2/13 0:00,Besharam,Romantic Comedy,,388915,,2013
1876,5/21/99 0:00,Besieged,Drama,,2032621,,1999
1877,11/1/02 0:00,Besotted,Comedy,,656,,2002
1878,6/2/11 0:00,The Best and the Brightest,Comedy,,0,,2011
1879,12/31/10 0:00,Best Buds,Comedy,,0,,2010
1880,7/20/84 0:00,Best Defense,Comedy,,19265302,,1984
1881,3/6/15 0:00,The Best Exotic Marigold Hotel 2,Comedy,,0,,2015
1882,5/4/12 0:00,The Best Exotic Marigold Hotel,Comedy,10000000,46383639,Play,2012
1883,12/17/82 0:00,Best Friends,Comedy,,36670556,,1982
1884,12/31/12 0:00,Best Freinds Forever,Black Comedy,,0,,2012
1885,9/27/00 0:00,Best in Show,Comedy,6000000,18621249,,2000
1886,9/10/99 0:00,Best Laid Plans,Thriller/Suspense,,25651,,1999
1887,7/23/82 0:00,The Best Little Whorehouse in Texas,Comedy,20500000,69701637,,1982
1888,12/31/99 0:00,Best Man: Best Boy and All of Us 20 Years Later,,,0,,1999
1889,11/8/13 0:00,Best Man Down,Comedy,,1938,,2013
1890,11/15/13 0:00,The Best Man Holiday,Comedy,17000000,70525195,Play,2013
1891,4/20/01 0:00,Best Man in Grass Creek,Romantic Comedy,,81760,,2001
1892,10/22/99 0:00,The Best Man,Romantic Comedy,9000000,34102780,,1999
1893,9/1/98 0:00,The Best Man (1964),Drama,,0,,1998
1894,10/17/97 0:00,Best Men,Comedy,,5000,,1997
1895,1/31/14 0:00,Best Night Ever,Comedy,,0,,2014
1896,6/22/10 0:00,Best Of Europe: Beautiful France,Documentary,,0,,2010
1897,5/18/10 0:00,Best of Europe: Beautiful Germany,Documentary,,0,,2010
1898,5/18/10 0:00,Best Of Europe Beautiful Greece,,,0,,2010
1899,5/18/10 0:00,Best Of Europe: Beautiful Italy,Documentary,,0,,2010
1900,10/19/10 0:00,Best Of Europe: Belgium & Holland,Documentary,,0,,2010
1901,7/20/10 0:00,Best Of Europe: Music Lover's Europe,Documentary,,0,,2010
1902,7/20/10 0:00,Best Of Europe: The Great Cities,Documentary,,0,,2010
1903,10/17/14 0:00,The Best of Me,Drama,,0,,2014
1904,2/9/10 0:00,Best of Penn Says: Religion,Concert/Performance,,0,,2010
1905,11/10/89 0:00,Best of the Best,Action,,1700000,,1989
1906,3/5/93 0:00,Best of the Best 2,Action,,6044652,,1993
1907,1/31/86 0:00,The Best of Times,Comedy,,7790931,,1986
1908,7/20/10 0:00,Best of Travel: San Francisco Seattle Vancouver,Documentary,,0,,2010
1909,7/19/11 0:00,Best of Travel South Africa,Documentary,,0,,2011
1910,9/25/87 0:00,Best Seller,Thriller/Suspense,,4278150,,1987
1911,2/20/04 0:00,The Best Two Years,Comedy,,1163450,,2004
1912,4/23/10 0:00,Best Worst Movie,,,109895,,2010
1913,11/21/46 0:00,The Best Years of Our Lives,Drama,2100000,23600000,,1946
1914,10/19/12 0:00,Bestiaire,Documentary,,1428,,2012
1915,3/7/14 0:00,Bethlehem,Thriller/Suspense,,88000,,2014
1916,2/25/83 0:00,Betrayal,Drama,,0,,1983
1917,11/21/08 0:00,The Betrayal,Documentary,,41271,,2008
1918,8/26/88 0:00,Betrayed,Thriller/Suspense,,25816139,,1988
1919,12/31/10 0:00,Betrayed by Passion,Drama,,0,,2010
1920,6/30/09 0:00,The Betrayed,,,0,,2009
1921,2/9/78 0:00,The Betsy,Drama,,17700000,,1978
1922,6/22/90 0:00,Betsy's Wedding,Comedy,,19740070,,1990
1923,4/15/83 0:00,Better Late Than Never,Comedy,,24164,,1983
1924,6/24/11 0:00,A Better Life,Drama,10000000,1759252,Play,2011
1925,8/4/00 0:00,Better Living,Comedy,,1432,,2000
1926,3/14/14 0:00,Better Living Through Chemistry,Black Comedy,,72273,,2014
1927,5/26/00 0:00,Better Living Through Circuitry,Documentary,,80739,,2000
1928,4/11/03 0:00,Better Luck Tomorrow,Drama,250000,3802390,,2003
1929,8/23/85 0:00,Better Off Dead...,Comedy,,10297601,,1985
1930,8/13/99 0:00,Better Than Chocolate,Romantic Comedy,,2011254,,1999
1931,10/26/01 0:00,Better than Sex,Romantic Comedy,,94940,,2001
1932,3/2/12 0:00,Better Than Something: Jay Reatard,Documentary,,17401,,2012
1933,11/22/13 0:00,Bettie Page Reveals All,Documentary,,108118,,2013
1934,6/11/13 0:00,Betty and Coretta,Drama,,0,,2013
1935,9/13/02 0:00,Betty Fisher et autres histoires,Drama,7500000,206400,,2002
1936,3/27/12 0:00,Betty White Champion for Animals,Documentary,,0,,2012
1937,12/31/10 0:00,Between Kings and Queens,Drama,,0,,2010
1938,1/30/09 0:00,Between Love & Goodbye,Drama,,18480,,2009
1939,12/31/06 0:00,Between Love and Hate,,,0,,2006
1940,1/28/10 0:00,Between the Lines,Comedy,,0,,2010
1941,6/14/13 0:00,Between Us,Drama,,0,,2013
1942,12/31/11 0:00,Beul-la-in-deu,Thriller/Suspense,,0,,2011
1943,10/15/93 0:00,The Beverly Hillbillies,Comedy,,42222647,,1993
1944,10/3/08 0:00,Beverly Hills Chihuahua,Comedy,20000000,94514402,,2008
1945,2/1/11 0:00,Beverly Hills Chihuahua 2,,,0,,2011
1946,9/18/12 0:00,Beverly Hills Chihuahua 3,Adventure,,0,,2012
1947,12/5/84 0:00,Beverly Hills Cop,Action,15000000,234760478,,1984
1948,5/20/87 0:00,Beverly Hills Cop II,Action,20000000,153665036,,1987
1949,5/25/94 0:00,Beverly Hills Cop III,Action,50000000,42586861,,1994
1950,12/31/11 0:00,Beverly Hills Cop IV,Action,,0,,2011
1951,1/17/97 0:00,Beverly Hills Ninja,Comedy,,31245344,,1997
1952,6/11/13 0:00,Beverly Lewis' The Confession,Drama,,0,,2013
1953,2/25/05 0:00,Bewafaa,Drama,,479076,,2005
1954,3/14/14 0:00,Bewakoofiyaan,Romantic Comedy,,0,,2014
1955,11/30/12 0:00,Beware of Mr. Baker,Documentary,,116476,,2012
1956,9/9/11 0:00,Beware the Gonzo,Comedy,,0,,2011
1957,7/2/14 0:00,Deliver Us from Evil,Action,,0,,2014
1958,6/28/96 0:00,Der Bewegte Mann,Comedy,,330760,,1996
1959,6/24/05 0:00,Bewitched,Comedy,80000000,63313159,,2005
1960,12/31/07 0:00,Beyaz Melek,Drama,,0,,2007
1961,11/19/07 0:00,The Beyonce Experience,,,0,,2007
1962,12/7/10 0:00,BeyoncÃ©: I Am... World Tour,Concert/Performance,,0,,2010
1963,12/31/12 0:00,Beyond,,,0,,2012
1964,9/11/09 0:00,Beyond a Reasonable Doubt,Thriller/Suspense,,32917,,2009
1965,1/1/78 0:00,Beyond and Back,Documentary,,23800000,,1978
1966,2/29/08 0:00,Beyond Belief,Documentary,,667,,2008
1967,10/24/03 0:00,Beyond Borders,Drama,60000000,4426297,,2003
1968,3/17/06 0:00,Beyond Honor,Drama,,6437,,2006
1969,12/31/14 0:00,Beyond Justice,Action,,0,,2014
1970,12/31/13 0:00,Beyond Paradise,Drama,,0,,2013
1971,11/23/10 0:00,Beyond Prairie: True Story of Laura Ingalls Wilder,Drama,,0,,2010
1972,8/25/95 0:00,Beyond Rangoon,Drama,,5656641,,1995
1973,5/18/12 0:00,Beyond the Black Rainbow,Drama,1100000,56491,,2012
1974,1/21/09 0:00,Beyond the Epic Run,,,0,,2009
1975,12/31/12 0:00,Beyond the Furthest Star,Drama,,0,,2012
1976,3/9/07 0:00,Beyond the Gates,Drama,,40848,,2007
1977,11/5/04 0:00,Beyond the Gates of Splendor,Documentary,,36412,,2004
1978,10/22/99 0:00,Beyond the Mat,Documentary,500000,2047570,,1999
1979,4/24/81 0:00,Beyond the Reef,,,547525,,1981
1980,12/17/04 0:00,Beyond the Sea,Drama,24000000,6144806,,2004
1981,1/1/70 0:00,Beyond the Valley of the Dolls,Comedy,1000000,9000000,,1970
1982,1/1/87 0:00,Beyond Therapy,Comedy,,790000,,1987
1983,5/9/03 0:00,Beyond Vanilla,Documentary,,27396,,2003
1984,12/31/08 0:00,Bezerra de Menezes - O DiÃ¡rio de um EspÃ_rito,Drama,,0,,2008
1985,12/31/11 0:00,BFF and Baby,Comedy,,0,,2011
1986,7/12/13 0:00,Bhaag Milkha Bhaag,,,1626289,,2013
1987,12/22/06 0:00,Bhagam Bhag,Comedy,,789963,,2006
1988,12/31/11 0:00,Bheja Fry 2,Comedy,,22266,,2011
1989,10/12/07 0:00,Bhool Bhulaiyaa,Comedy,,1097797,,2007
1990,5/30/03 0:00,Bhoot,Horror,,0,,2003
1991,5/9/08 0:00,Bhoothnath,Drama,,449776,,2008
1992,12/3/10 0:00,Bhutto,Documentary,,100202,,2010
1993,8/17/12 0:00,Bian Jing Feng Yun,Drama,,0,,2012
1994,4/4/13 0:00,"Bianca come il latte, rossa come il sangue",Drama,,0,,2013
1995,9/28/66 0:00,The Bible,Drama,,34900023,,1966
1996,12/17/99 0:00,Bicentennial Man,Drama,90000000,58220776,,1999
1997,5/17/13 0:00,Bidder 70,Documentary,,5074,,2013
1998,8/17/12 0:00,Les bien-aimÃ©s,Drama,,124405,,2012
1999,7/25/08 0:00,Bienvenue chez les Ch'tis,Comedy,16000000,1477650,,2008
2000,10/7/12 0:00,Bienvenue parmi nous,,,5912,,2012
2001,6/3/88 0:00,Big,Comedy,18000000,114968774,,1988
2002,4/16/04 0:00,Big Ain't Bad,Drama,,12288,,2004
2003,10/18/13 0:00,Big Ass Spider,Comedy,,0,,2013
2004,2/22/02 0:00,Big Bad Love,Drama,,100420,,2002
2005,12/31/11 0:00,The Big Bad,Horror,,0,,2011
2006,3/4/14 0:00,Big Bad Wolf,Horror,,0,,2014
2007,1/17/14 0:00,Big Bad Wolves,Thriller/Suspense,,32828,,2014
2008,12/31/07 0:00,Big Bang,,,0,,2007
2009,5/13/11 0:00,The Big Bang,Thriller/Suspense,,0,,2011
2010,1/30/04 0:00,The Big Bounce,Comedy,50000000,6471394,,2004
2011,7/27/12 0:00,Big Boys Gone Bananas,Documentary,,0,,2012
2012,8/29/80 0:00,The Big Brawl,Action,,8527743,,1980
2013,1/26/96 0:00,Big Bully,Comedy,,2042530,,1996
2014,6/23/76 0:00,The Big Bus,Comedy,,0,,1976
2015,6/10/88 0:00,Big Business,Comedy,,40150487,,1988
2016,9/28/83 0:00,The Big Chill,Comedy,,56077501,,1983
2017,12/31/07 0:00,Big City,,,0,,2007
2018,1/1/58 0:00,The Big Country,Western,,10000000,,1958
2019,6/25/99 0:00,Big Daddy,Comedy,30000000,163479795,,1999
2020,1/1/71 0:00,The Big Doll House,,,10000000,,1971
2021,8/21/87 0:00,The Big Easy,Thriller/Suspense,,17685307,,1987
2022,6/1/01 0:00,Big Eden,Drama,,512451,,2001
2023,12/31/11 0:00,Big Eyes,Drama,,0,,2011
2024,8/28/09 0:00,Big Fan,Comedy,,234540,Play,2009
2025,2/8/02 0:00,Big Fat Liar,Comedy,15000000,47811275,,2002
2026,12/10/03 0:00,Big Fish,Drama,70000000,66432867,,2003
2027,1/1/78 0:00,The Big Fix,Comedy,,12000000,,1978
2028,12/2/12 0:00,The Big Fix,Documentary,,0,,2012
2029,9/11/09 0:00,Big Gay Musical,Musical,,223455,,2009
2030,9/29/95 0:00,The Big Green,Comedy,,17736619,,1995
2031,12/31/50 0:00,The Big Hangover,,,0,,1950
2032,11/7/14 0:00,Big Hero 6,Action,,0,,2014
2033,4/24/98 0:00,The Big Hit,Action,13000000,27066941,,1998
2034,12/31/10 0:00,Big I Am,Multiple Genres,,0,,2010
2035,1/1/71 0:00,Big Jake,Western,,7500000,,1971
2036,4/28/00 0:00,The Big Kahuna,Drama,,3150107,,2000
2037,3/6/98 0:00,The Big Lebowski,Comedy,15000000,17498804,,1998
2038,5/15/09 0:00,Big Man Japan,,,40796,,2009
2039,3/14/14 0:00,Big Men,Documentary,,38534,,2014
2040,6/2/00 0:00,Big Momma's House,Comedy,33000000,117559438,,2000
2041,1/27/06 0:00,Big Momma's House 2,Comedy,40000000,70165972,,2006
2042,2/18/11 0:00,"Big Mommas: Like Father, Like Son",Comedy,32000000,37915414,Play,2011
2043,12/31/10 0:00,Big Money Rustlas,,,0,,2010
2044,9/20/96 0:00,Big Night,Drama,,12008376,,1996
2045,4/10/98 0:00,The Big One,Documentary,,720074,,1998
2046,1/1/25 0:00,The Big Parade,Drama,245000,11000000,,1925
2047,9/15/89 0:00,The Big Picture,Comedy,,117463,,1989
2048,3/17/06 0:00,The Big Question,Documentary,,2248,,2006
2049,7/18/80 0:00,The Big Red One,,,7206220,,1980
2050,10/2/87 0:00,Big Shots,Comedy,,3000000,,1987
2051,9/6/96 0:00,The Big Squeeze,Drama,,23567,,1996
2052,3/24/09 0:00,Big Stan,Comedy,,0,,2009
2053,7/3/13 0:00,Big Star: Nothing Can Hurt Me,Documentary,,105998,,2013
2054,11/1/13 0:00,Big Sur,Drama,,4734,,2013
2055,1/28/00 0:00,The Big Tease,Comedy,4000000,185577,,2000
2056,12/31/09 0:00,Big Things,,50000,0,,2009
2057,12/31/12 0:00,Big Time Movie,Adventure,,0,,2012
2058,7/22/88 0:00,Big Top Pee-Wee,Adventure,,15122324,,1988
2059,10/9/12 0:00,Big Top Scooby-Doo!,Adventure,,0,,2012
2060,9/25/87 0:00,The Big Town,Thriller/Suspense,,1733017,,1987
2061,4/5/02 0:00,Big Trouble,Comedy,45000000,7262288,,2002
2062,7/1/86 0:00,Big Trouble in Little China,Action,,11100000,,1986
2063,8/30/10 0:00,The Big Uneasy,Documentary,,116698,,2010
2064,4/26/13 0:00,The Big Wedding,Romantic Comedy,32500000,21819348,Play,2013
2065,6/6/06 0:00,The Big White,Comedy,,0,,2006
2066,10/14/11 0:00,The Big Year,Comedy,,7204138,Play,2011
2067,10/6/09 0:00,Bigfoot,,,0,,2009
2068,12/31/12 0:00,Bigfoot Country,,,0,,2012
2069,10/19/12 0:00,Bigfoot: The Lost Coast Tapes,Thriller/Suspense,,0,,2012
2070,5/30/08 0:00,"Bigger, Stronger, Faster*",Documentary,,308575,,2008
2071,2/18/05 0:00,Bigger Than the Sky,Comedy,,20149,,2005
2072,12/19/06 0:00,"Biggest Loser Workout, Vol. 2, The",Instructional,,0,,2006
2073,9/27/02 0:00,Biggie and Tupac,Documentary,,54834,,2002
2074,1/29/88 0:00,Biggles,Adventure,,112132,,1988
2075,1/31/03 0:00,Biker Boyz,Action,,21908034,,2003
2076,12/31/98 0:00,Biker Dreams,,,0,,1998
2077,12/31/12 0:00,Bikini Spring Break,,,0,,2012
2078,2/8/08 0:00,Bikur Ha-Tizmoret,Comedy,,3053823,,2008
2079,7/19/91 0:00,Bill & Ted's Bogus Journey,Comedy,20000000,37537675,,1991
2080,2/17/89 0:00,Bill & Ted's Excellent Adventure,Comedy,10000000,40485039,,1989
2081,11/26/13 0:00,Bill Cosby: Far From Finished,Concert/Performance,,0,,2013
2082,3/16/11 0:00,Bill Cunningham New York,Documentary,,1510026,,2011
2083,4/8/11 0:00,American: The Bill Hicks Story,Documentary,,174796,,2011
2084,5/14/13 0:00,Bill Moyers: Beyond Hate,Documentary,,0,,2013
2085,8/2/12 0:00,Bill W.,Documentary,,456276,,2012
2086,11/7/03 0:00,Billabong Odyssey,Documentary,,155500,,2003
2087,2/13/09 0:00,Billo Barber,,,754928,,2009
2088,11/1/91 0:00,Billy Bathgate,Drama,,15565363,,1991
2089,12/31/11 0:00,Billy Batson and the Legend of Shazam,Action,,0,,2011
2090,12/31/11 0:00,Billy Bishop Goes to War,Drama,,0,,2011
2091,11/30/10 0:00,Billy Blanks Jr: Dance With Me Groove & Burn,Instructional,,0,,2010
2092,10/13/00 0:00,Billy Elliot,Drama,5000000,21995263,,2000
2093,1/1/71 0:00,Billy Jack,,,98000000,,1971
2094,12/16/63 0:00,Billy Liar,Comedy,,35609,,1963
2095,2/10/95 0:00,Billy Madison,Comedy,,25460475,,1995
2096,12/31/11 0:00,Billy T: Te Movie,Drama,,0,,2011
