,Released,Movie,Genre,Budget,Revenue,Trailer,Year
97,10/27/06 0:00,20 centiÃ_metros,Comedy,,6635,,2006
98,2/26/99 0:00,20 Dates,Comedy,66000,541636,,1999
99,12/31/08 0:00,20-seiki shÃ´nen,Adventure,,0,,2008
100,6/14/13 0:00,200 Cartas,Romantic Comedy,,9338,,2013
101,2/26/99 0:00,200 Cigarettes,Romantic Comedy,6000000,6852450,,1999
102,12/31/06 0:00,200 Pounds Beauty,,,0,,2006
103,12/31/11 0:00,"20,00 Leagues Under the Sea",Adventure,,0,,2011
104,4/2/68 0:00,2001: A Space Odyssey,Adventure,10500000,56700000,,1968
105,7/20/10 0:00,2001 Maniacs: Field of Screams,,,0,,2010
106,2/24/06 0:00,2005 Academy Award Nominated Short Films,Multiple Genres,,157415,,2006
107,2/16/07 0:00,2006 Academy Award Nominated Short Films,Multiple Genres,,335090,,2007
108,2/15/08 0:00,2007 Academy Award Nominated Short Films,Multiple Genres,,508695,,2008
109,9/30/08 0:00,2008 Olympics: Beijing 2008 Complete Opening Ceremony,,,0,,2008
110,9/30/08 0:00,2008 Olympics: Beijing 2008 Highlights â€“ The Games of the XXIX Olympiad,,,0,,2008
111,2/6/09 0:00,2009 Oscar Shorts,Multiple Genres,,644635,,2009
112,12/7/84 0:00,2010,Thriller/Suspense,,41000000,,1984
113,2/19/10 0:00,2010 Oscar Shorts,Multiple Genres,,1018169,,2010
114,4/13/10 0:00,2010 Winter Olympics,,,0,,2010
115,2/11/11 0:00,2011 Oscar Shorts,Multiple Genres,,1352152,,2011
116,11/13/09 0:00,2012,Action,200000000,166112167,Play,2009
117,2/12/08 0:00,2012: Doomsday,,,0,,2008
118,12/31/11 0:00,2012 Ice Age,,,0,,2011
119,2/10/12 0:00,2012 Oscar Shorts,Multiple Genres,,1702415,,2012
120,4/9/10 0:00,2012: Time for Change,Drama,,68339,,2010
121,12/31/11 0:00,2012 Zombie Apocalypse,Horror,,0,,2011
122,7/30/13 0:00,2012 NBA Champions: Miami Heat,Documentary,,0,,2013
123,2/1/13 0:00,2013 Oscar Shorts,Multiple Genres,,2142342,,2013
124,11/26/13 0:00,2013 World Champions: Boston Red Sox,Documentary,,0,,2013
125,1/31/14 0:00,2014 Oscar Shorts,Multiple Genres,,2357890,,2014
126,7/13/12 0:00,2016: Obama's America,Documentary,,33349941,,2012
127,8/5/05 0:00,2046,Drama,12000000,1442338,,2005
128,3/21/08 0:00,21,Thriller/Suspense,35000000,81159365,,2008
129,12/7/10 0:00,21.00: Eros Live World Tour 2009/2010,Concert/Performance,,0,,2010
130,12/31/09 0:00,21 and a Wakeup,,,0,,2009
131,3/1/13 0:00,21 and Over,Comedy,13000000,25682380,Play,2013
132,11/21/03 0:00,21 Grams,Drama,20000000,16248701,,2003
133,3/16/12 0:00,21 Jump Street,Comedy,,138447667,Play,2012
134,6/13/14 0:00,22 Jump Street,Comedy,,0,,2014
135,12/31/11 0:00,23:59,Horror,,0,,2011
136,12/31/13 0:00,23 Blast,Documentary,,0,,2013
137,4/15/98 0:00,24 7: Twenty Four Seven,Comedy,2000000,72544,,1998
138,6/5/09 0:00,24 City,,,30799,,2009
139,1/24/14 0:00,24 Exposures,Thriller/Suspense,,0,,2014
140,8/9/02 0:00,24 Hour Party People,Drama,,1169030,,2002
141,1/29/99 0:00,The 24 Hour Woman,Comedy,,109148,,1999
142,12/31/11 0:00,24: The Movie,Thriller/Suspense,,0,,2011
143,10/23/12 0:00,247 F,Horror,,0,,2012
144,5/14/04 0:00,The 24th Day,Drama,,14107,,2004
145,12/19/02 0:00,25th Hour,Drama,4500000,13084595,,2002
146,1/13/08 0:00,27 Dresses,Romantic Comedy,,76808654,,2008
147,4/14/00 0:00,28 Days,Comedy,43000000,37035515,,2000
148,6/27/03 0:00,28 Days Later...,Horror,8000000,45064915,,2003
149,11/9/12 0:00,28 Hotel Rooms,Drama,,18869,,2012
150,12/31/11 0:00,28 Months Later,Horror,,0,,2011
151,5/11/07 0:00,28 Weeks Later,Horror,15000000,28638916,,2007
152,11/1/91 0:00,29th Street,Comedy,,1287171,,1991
153,11/26/99 0:00,2by4,Drama,,16637,,1999
154,9/16/11 0:00,3,Drama,7200000,59774,,2011
155,10/12/12 0:00,"3, 2, 1... Frankie Go Boom",Comedy,,0,,2012
156,12/31/07 0:00,3 amis,Comedy,,0,,2007
157,3/11/11 0:00,3 Backyards,Drama,300000,39475,,2011
158,12/31/11 0:00,3 Blind Saints,Comedy,,0,,2011
159,9/30/05 0:00,3 Days of Rain,Drama,,2841,,2005
160,5/22/13 0:00,3 Geezers,Comedy,,0,,2013
161,4/25/86 0:00,3 hommes et un couffin,Comedy,,1634489,,1986
162,12/23/09 0:00,3 Idiots,Comedy,,6533849,,2009
163,11/25/87 0:00,3 Men and a Baby,Comedy,15000000,167780960,,1987
164,11/21/90 0:00,3 Men and a Little Lady,Comedy,,71609321,,1990
165,12/1/06 0:00,3 Needles,Drama,,0,,2006
166,8/7/92 0:00,3 Ninjas,Action,,29028000,,1992
167,4/10/98 0:00,3 Ninjas: High Noon at Mega Mountain,Action,,308082,,1998
168,5/6/94 0:00,3 Ninjas Kick Back,Action,20000000,11744960,,1994
169,4/7/95 0:00,3 Ninjas Knuckle Up,Action,,407618,,1995
170,7/27/05 0:00,The 3 Rooms of Melancholia,Documentary,,16080,,2005
171,3/1/00 0:00,3 Strikes,Comedy,4000000,9821335,,2000
172,7/20/12 0:00,30 Beats,Drama,,14686,,2012
173,9/15/00 0:00,30 Days,Comedy,,13753,,2000
174,10/19/07 0:00,30 Days of Night,Horror,30000000,39568996,,2007
175,10/5/10 0:00,30 Days of Night: Dark Days,Horror,,0,,2010
176,8/12/11 0:00,30 Minutes or Less,Comedy,28000000,37053924,Play,2011
177,1/15/13 0:00,30 Nights Of Paranormal Activity With The Devil Inside The Girl With The Dragon Tattoo,,3000000,0,,2013
178,6/7/02 0:00,30 Years to Life,Comedy,,99023,,2002
179,3/9/07 0:00,300,Action,60000000,210614939,,2007
180,3/7/14 0:00,300: Rise of an Empire,Action,110000000,102557652,Play,2014
181,2/25/14 0:00,The 300 Spartans,Action,,0,,2014
182,2/23/01 0:00,3000 Miles to Graceland,Drama,62000000,15738632,,2001
183,12/31/09 0:00,31 North 62 East,Thriller/Suspense,,0,,2009
184,9/2/07 0:00,3:10 to Yuma,Western,48000000,53606916,,2007
185,5/17/13 0:00,33 Postcards,Drama,,0,,2013
186,5/20/11 0:00,35 and Ticking,Romantic Comedy,,113804,,2011
187,9/18/09 0:00,35 Rhums,Drama,,177511,,2009
188,12/31/10 0:00,36,Thriller/Suspense,,0,,2010
189,12/31/11 0:00,36,Drama,,0,,2011
190,9/6/13 0:00,36 Saints,Thriller/Suspense,,0,,2013
191,8/3/12 0:00,360,Thriller/Suspense,,100343,,2012
192,11/7/86 0:00,37Â°2 le matin,Drama,,12013,,1986
193,12/31/11 0:00,The 39 Clues,Adventure,,0,,2011
194,11/23/05 0:00,39 Pounds of Love,Documentary,,28125,,2005
195,8/15/93 0:00,The 39 Steps,,,0,,1993
