,names,values
1252,Rohit,M
1253,Roland,M
1254,Rolf,M
1255,Rolfe,M
1256,Roman,M
1257,Romeo,M
1258,Ron,M
1259,Ronald,M
1260,Ronny,M
1261,Rose,F
1262,Rouben,M
1263,Rowan,M
1264,Rowdy,M
1265,Rowland,M
1266,Roy,M
1267,Ruba,F
1268,Ruben,M
1269,Rucha,M
1270,Rudolph,M
1271,Ruggero,M
1272,Rumle,M
1273,Rupert,M
1274,Russ,M
1275,Russell,M
1276,Ry,M
1277,Ryan,M
1278,Ryszard,M
1279,Ryëë_ta,M
1280,Rëë©gis,M
1281,Rëë©mi,M
1282,S.,M
1283,S.S.,M
1284,Saara,F
1285,Sacha,M
1286,Salem,M
1287,Salim,M
1288,Sally,F
1289,Sam,M
1290,Samantha,F
1291,Samuel,M
1292,Samuli,M
1293,Sanaa,F
1294,Sandra,F
1295,Sandy,M
1296,Sang-ho,M
1297,Sang-hoon,M
1298,Sang-il,M
1299,Sang-soo,M
1300,Sanjay,M
1301,Sanna,F
1302,Santiago,M
1303,Sarah,F
1304,Sarah-Violet,M
1305,Sascha,M
1306,Satoshi,M
1307,Satyajit,M
1308,Saul,M
1309,Savage,M
1310,Saverio,M
1311,Scandar,M
1312,Scott,M
1313,Sean,M
1314,Sebastian,M
1315,Sebastiëën,M
1316,Segundo,M
1317,Seiji,M
1318,Seijun,M
1319,Semih,M
1320,Seong-gang,M
1321,Serge,M
1322,Sergei,M
1323,Sergey,M
1324,Sergio,M
1325,Seth,M
1326,Severin,M
1327,Shainee,M
1328,Shamim,M
1329,Shana,F
1330,Shane,M
1331,Shari,F
1332,Sharon,F
1333,Shawn,M
1334,Shekhar,M
1335,Sheldon,M
1336,Sheree,F
1337,Sherry,F
1338,Shigeo,M
1339,Shimit,M
1340,ShinichirëëŠ,M
1341,Shinji,M
1342,Shira,F
1343,Shital,M
1344,Shoko,M
1345,Shona,F
1346,Shonali,M
1347,Shuki,M
1348,Shun,F
1349,Shunji,M
1350,ShëëŠhei,M
1351,Sian,F
1352,Sidney,M
1353,Silvio,M
1354,Simon,M
1355,Sini,F
1356,Sion,M
1357,Siu-Tung,M
1358,Skip,M
1359,Slava,M
1360,So,M
1361,Sofia,F
1362,Solveig,F
1363,Sonja,F
1364,Sonny,M
1365,Sook-Yin,M
1366,Sophia,F
1367,Sophie,F
1368,Souleymane,M
1369,Spencer,M
1370,Spike,M
1371,Srdjan,M
1372,Stacie,F
1373,Stacy,F
1374,Stan,M
1375,Stanislav,M
1376,Stanley,M
1377,Stefano,M
1378,Stefen,M
1379,Stella,F
1380,Steno,M
1381,Stephan,M
1382,Stephen,M
1383,Steve,M
1384,Steven,M
1385,Stewart,M
1386,Stian,M
1387,Stig,M
1388,Stiles,M
1389,Stina,F
1390,Stuart,M
1391,Stëë©phane,M
1392,Stëë©phanie,M
1393,Sue,F
1394,Sujoy,M
1395,Sunao,M
1396,Sung-ho,M
1397,Susan,F
1398,Susanna,F
1399,Susanne,F
1400,Suza,M
1401,Suzana,F
1402,Suzi,F
1403,Suzuki,M
1404,Sydney,F
1405,Sylvain,M
1406,Sylvester,M
1407,Së_nke,M
1408,T.C.,M
1409,Tad,M
1410,Tadayoshi,M
1411,Tae-gyun,M
1412,Tae-yong,M
1413,Tahmineh,M
1414,Taika,F
1415,Takashi,M
1416,Takayuki,M
1417,Takeshi,M
1418,Takuji,M
1419,Talya,F
1420,Tamara,F
1421,Tamra,F
1422,Tanya,F
1423,Tara,F
1424,Tarsem,M
1425,Tate,M
1426,Tay,M
1427,Taylor,M
